Lon,Lat,Est,Tmin,Fecha
-103.81,19.33,"Peñitas, Col.",22.0,2014-07-01
-104.1,18.94,"Radar, Col.",24.4,2014-07-01
-103.87,18.91,"Tecomán, Col.",24.4,2014-07-01
-103.61,19.25,"Buenavista, Col.",20.8,2014-08-01
-103.73,18.76,"Cerro de Ortega, Col.",24.2,2014-08-01
-103.63,18.83,"Callejones, Col.",24.0,2014-08-01
-103.8,19.21,"Coquimatlán, Col.",22.1,2014-08-01
-103.6,19.32,"Cuauhtémoc, Col.",20.6,2014-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.0,2014-08-01
-103.87,19.17,"La Esperanza, Col.",21.7,2014-08-01
-103.77,18.81,"Laguna de Amela, Col.",23.4,2014-08-01
-103.73,19.22,"La Posta, Col.",21.7,2014-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.4,2014-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.7,2014-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.6,2014-08-01
-103.81,19.33,"Peñitas, Col.",21.9,2014-08-01
-104.1,18.94,"Radar, Col.",24.2,2014-08-01
-103.87,18.91,"Tecomán, Col.",24.4,2014-08-01
-103.61,19.25,"Buenavista, Col.",20.4,2014-09-01
-103.73,18.76,"Cerro de Ortega, Col.",23.4,2014-09-01
-103.63,18.83,"Callejones, Col.",23.1,2014-09-01
-103.8,19.21,"Coquimatlán, Col.",21.9,2014-09-01
-103.6,19.32,"Cuauhtémoc, Col.",20.4,2014-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",21.7,2014-09-01
-103.87,19.17,"La Esperanza, Col.",21.4,2014-09-01
-103.77,18.81,"Laguna de Amela, Col.",23.5,2014-09-01
-103.73,19.22,"La Posta, Col.",21.4,2014-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",20.7,2014-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.1,2014-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.1,2014-09-01
-103.81,19.33,"Peñitas, Col.",21.3,2014-09-01
-104.1,18.94,"Radar, Col.",23.4,2014-09-01
-103.87,18.91,"Tecomán, Col.",24.0,2014-09-01
-103.61,19.25,"Buenavista, Col.",20.8,2014-10-01
-103.73,18.76,"Cerro de Ortega, Col.",24.1,2014-10-01
-103.63,18.83,"Callejones, Col.",23.4,2014-10-01
-103.8,19.21,"Coquimatlán, Col.",22.5,2014-10-01
-103.6,19.32,"Cuauhtémoc, Col.",20.5,2014-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",22.3,2014-10-01
-103.87,19.17,"La Esperanza, Col.",21.7,2014-10-01
-103.77,18.81,"Laguna de Amela, Col.",24.0,2014-10-01
-103.73,19.22,"La Posta, Col.",21.9,2014-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",21.7,2014-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.7,2014-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.7,2014-10-01
-103.81,19.33,"Peñitas, Col.",21.9,2014-10-01
-104.1,18.94,"Radar, Col.",24.1,2014-10-01
-103.87,18.91,"Tecomán, Col.",24.9,2014-10-01
-103.61,19.25,"Buenavista, Col.",17.5,2014-11-01
-103.73,18.76,"Cerro de Ortega, Col.",20.9,2014-11-01
-103.63,18.83,"Callejones, Col.",21.8,2014-11-01
-103.8,19.21,"Coquimatlán, Col.",20.4,2014-11-01
-103.6,19.33,"Cuauhtémoc, Col.",18.1,2014-11-01
-103.88,19.11,"Presa derivadora Jala, Col.",19.7,2014-11-01
-103.87,19.17,"La Esperanza, Col.",18.3,2014-11-01
-103.77,18.81,"Laguna de Amela, Col.",20.9,2014-11-01
-103.73,19.22,"La Posta, Col.",19.1,2014-11-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",20.1,2014-11-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",22.4,2014-11-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",23.7,2014-11-01
-103.81,19.33,"Peñitas, Col.",19.9,2014-11-01
-104.1,18.94,"Radar, Col.",22.1,2014-11-01
-103.87,18.91,"Tecomán, Col.",21.9,2014-11-01
-103.61,19.25,"Buenavista, Col.",32.7,2014-12-01
-103.73,18.76,"Cerro de Ortega, Col.",32.5,2014-12-01
-103.63,18.83,"Callejones, Col.",32.9,2014-12-01
-103.8,19.21,"Coquimatlán, Col.",31.9,2014-12-01
-103.6,19.33,"Cuauhtémoc, Col.",29.1,2014-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.6,2014-12-01
-103.87,19.17,"La Esperanza, Col.",32.2,2014-12-01
-103.77,18.81,"Laguna de Amela, Col.",32.0,2014-12-01
-103.73,19.22,"La Posta, Col.",32.2,2014-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.4,2014-12-01
