Lon,Lat,Est,Tmax,Fecha
-103.81,19.33,"Peñitas, Col.",31.6,2013-12-01
-104.1,18.94,"Radar, Col.",32.5,2013-12-01
-103.87,18.91,"Tecomán, Col.",34.9,2013-12-01
-103.61,19.25,"Buenavista, Col.",30.7,2014-01-01
-103.73,18.76,"Cerro de Ortega, Col.",32.3,2014-01-01
-103.63,18.83,"Callejones, Col.",34.7,2014-01-01
-103.8,19.21,"Coquimatlán, Col.",32.1,2014-01-01
-103.6,19.32,"Cuauhtémoc, Col.",28.8,2014-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.2,2014-01-01
-103.77,18.81,"Laguna de Amela, Col.",30.9,2014-01-01
-103.73,19.22,"La Posta, Col.",31.7,2014-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.4,2014-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.8,2014-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.6,2014-01-01
-103.81,19.33,"Peñitas, Col.",31.6,2014-01-01
-104.1,18.94,"Radar, Col.",31.9,2014-01-01
-103.87,18.91,"Tecomán, Col.",35.7,2014-01-01
-103.61,19.25,"Buenavista, Col.",33.2,2014-02-01
-103.73,18.76,"Cerro de Ortega, Col.",32.4,2014-02-01
-103.63,18.83,"Callejones, Col.",35.6,2014-02-01
-103.8,19.21,"Coquimatlán, Col.",32.7,2014-02-01
-103.6,19.32,"Cuauhtémoc, Col.",30.2,2014-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.2,2014-02-01
-103.87,19.17,"La Esperanza, Col.",33.4,2014-02-01
-103.77,18.81,"Laguna de Amela, Col.",31.9,2014-02-01
-103.73,19.22,"La Posta, Col.",33.1,2014-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.5,2014-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.4,2014-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.6,2014-02-01
-103.81,19.33,"Peñitas, Col.",34.4,2014-02-01
-104.1,18.94,"Radar, Col.",31.6,2014-02-01
-103.87,18.91,"Tecomán, Col.",35.9,2014-02-01
-103.61,19.25,"Buenavista, Col.",34.8,2014-03-01
-103.73,18.76,"Cerro de Ortega, Col.",32.8,2014-03-01
-103.63,18.83,"Callejones, Col.",36.9,2014-03-01
-103.8,19.21,"Coquimatlán, Col.",34.1,2014-03-01
-103.6,19.32,"Cuauhtémoc, Col.",31.7,2014-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.0,2014-03-01
-103.87,19.17,"La Esperanza, Col.",34.7,2014-03-01
-103.77,18.81,"Laguna de Amela, Col.",31.9,2014-03-01
-103.73,19.22,"La Posta, Col.",34.6,2014-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.7,2014-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",27.6,2014-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.4,2014-03-01
-103.81,19.33,"Peñitas, Col.",36.1,2014-03-01
-104.1,18.94,"Radar, Col.",30.4,2014-03-01
-103.87,18.91,"Tecomán, Col.",35.9,2014-03-01
-103.61,19.25,"Buenavista, Col.",35.1,2014-04-01
-103.73,18.76,"Cerro de Ortega, Col.",32.8,2014-04-01
-103.63,18.83,"Callejones, Col.",36.8,2014-04-01
-103.8,19.21,"Coquimatlán, Col.",34.9,2014-04-01
-103.6,19.32,"Cuauhtémoc, Col.",32.8,2014-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.0,2014-04-01
-103.87,19.17,"La Esperanza, Col.",34.9,2014-04-01
-103.77,18.81,"Laguna de Amela, Col.",32.1,2014-04-01
-103.73,19.22,"La Posta, Col.",34.9,2014-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",30.2,2014-04-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.2,2014-04-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.1,2014-04-01
-103.81,19.33,"Peñitas, Col.",36.0,2014-04-01
-104.1,18.94,"Radar, Col.",31.4,2014-04-01
-103.87,18.91,"Tecomán, Col.",34.1,2014-04-01
-103.61,19.25,"Buenavista, Col.",34.9,2014-05-01
-103.73,18.76,"Cerro de Ortega, Col.",34.1,2014-05-01
-103.63,18.83,"Callejones, Col.",38.3,2014-05-01
-103.8,19.21,"Coquimatlán, Col.",34.8,2014-05-01
-103.6,19.32,"Cuauhtémoc, Col.",32.2,2014-05-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.8,2014-05-01
-103.87,19.17,"La Esperanza, Col.",35.0,2014-05-01
-103.77,18.81,"Laguna de Amela, Col.",33.7,2014-05-01
-103.73,19.22,"La Posta, Col.",35.4,2014-05-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.9,2014-05-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",31.4,2014-05-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",33.0,2014-05-01
-103.81,19.33,"Peñitas, Col.",35.2,2014-05-01
-104.1,18.94,"Radar, Col.",33.3,2014-05-01
-103.87,18.91,"Tecomán, Col.",36.9,2014-05-01
-103.61,19.25,"Buenavista, Col.",32.8,2014-06-01
-103.73,18.76,"Cerro de Ortega, Col.",34.0,2014-06-01
-103.63,18.83,"Callejones, Col.",36.8,2014-06-01
-103.8,19.21,"Coquimatlán, Col.",33.4,2014-06-01
-103.6,19.32,"Cuauhtémoc, Col.",30.6,2014-06-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.0,2014-06-01
-103.87,19.17,"La Esperanza, Col.",34.5,2014-06-01
-103.77,18.81,"Laguna de Amela, Col.",33.8,2014-06-01
-103.73,19.22,"La Posta, Col.",33.5,2014-06-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.6,2014-06-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.2,2014-06-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",33.5,2014-06-01
-103.81,19.33,"Peñitas, Col.",33.5,2014-06-01
-104.1,18.94,"Radar, Col.",34.1,2014-06-01
-103.87,18.91,"Tecomán, Col.",36.5,2014-06-01
-103.61,19.25,"Buenavista, Col.",33.0,2014-07-01
-103.73,18.76,"Cerro de Ortega, Col.",34.8,2014-07-01
-103.63,18.83,"Callejones, Col.",37.6,2014-07-01
-103.8,19.21,"Coquimatlán, Col.",34.3,2014-07-01
-103.6,19.32,"Cuauhtémoc, Col.",30.6,2014-07-01
-103.88,19.11,"Presa derivadora Jala, Col.",35.2,2014-07-01
-103.87,19.17,"La Esperanza, Col.",35.3,2014-07-01
-103.77,18.81,"Laguna de Amela, Col.",34.2,2014-07-01
-103.73,19.22,"La Posta, Col.",34.3,2014-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.0,2014-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.7,2014-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",33.9,2014-07-01
-103.81,19.33,"Peñitas, Col.",33.4,2014-07-01
-104.1,18.94,"Radar, Col.",34.9,2014-07-01
-103.87,18.91,"Tecomán, Col.",36.1,2014-07-01
-103.61,19.25,"Buenavista, Col.",33.3,2014-08-01
-103.73,18.76,"Cerro de Ortega, Col.",35.4,2014-08-01
-103.63,18.83,"Callejones, Col.",36.6,2014-08-01
-103.8,19.21,"Coquimatlán, Col.",33.7,2014-08-01
-103.6,19.32,"Cuauhtémoc, Col.",30.8,2014-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.6,2014-08-01
-103.87,19.17,"La Esperanza, Col.",34.9,2014-08-01
-103.77,18.81,"Laguna de Amela, Col.",34.8,2014-08-01
-103.73,19.22,"La Posta, Col.",34.0,2014-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.6,2014-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.6,2014-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",33.8,2014-08-01
-103.81,19.33,"Peñitas, Col.",33.6,2014-08-01
-104.1,18.94,"Radar, Col.",34.8,2014-08-01
-103.87,18.91,"Tecomán, Col.",37.9,2014-08-01
-103.61,19.25,"Buenavista, Col.",31.3,2014-09-01
