Lon,Lat,Est,Tmed,Fecha
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.1,2014-05-01
-103.81,19.33,"Peñitas, Col.",28.9,2014-05-01
-104.1,18.94,"Radar, Col.",28.4,2014-05-01
-103.87,18.91,"Tecomán, Col.",30.8,2014-05-01
-103.61,19.25,"Buenavista, Col.",27.2,2014-06-01
-103.73,18.76,"Cerro de Ortega, Col.",29.6,2014-06-01
-103.63,18.83,"Callejones, Col.",30.7,2014-06-01
-103.8,19.21,"Coquimatlán, Col.",28.4,2014-06-01
-103.6,19.32,"Cuauhtémoc, Col.",25.8,2014-06-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.5,2014-06-01
-103.87,19.17,"La Esperanza, Col.",28.4,2014-06-01
-103.77,18.81,"Laguna de Amela, Col.",29.5,2014-06-01
-103.73,19.22,"La Posta, Col.",28.1,2014-06-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.0,2014-06-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.5,2014-06-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.9,2014-06-01
-103.81,19.33,"Peñitas, Col.",28.1,2014-06-01
-104.1,18.94,"Radar, Col.",29.3,2014-06-01
-103.87,18.91,"Tecomán, Col.",31.0,2014-06-01
-103.61,19.25,"Buenavista, Col.",26.7,2014-07-01
-103.73,18.76,"Cerro de Ortega, Col.",29.5,2014-07-01
-103.63,18.83,"Callejones, Col.",30.5,2014-07-01
-103.8,19.21,"Coquimatlán, Col.",28.4,2014-07-01
-103.6,19.32,"Cuauhtémoc, Col.",25.7,2014-07-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.6,2014-07-01
-103.87,19.17,"La Esperanza, Col.",28.2,2014-07-01
-103.77,18.81,"Laguna de Amela, Col.",29.2,2014-07-01
-103.73,19.22,"La Posta, Col.",28.1,2014-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.2,2014-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.8,2014-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.1,2014-07-01
-103.81,19.33,"Peñitas, Col.",27.7,2014-07-01
-104.1,18.94,"Radar, Col.",29.6,2014-07-01
-103.87,18.91,"Tecomán, Col.",30.3,2014-07-01
-103.61,19.25,"Buenavista, Col.",27.0,2014-08-01
-103.73,18.76,"Cerro de Ortega, Col.",29.8,2014-08-01
-103.63,18.83,"Callejones, Col.",30.3,2014-08-01
-103.8,19.21,"Coquimatlán, Col.",27.9,2014-08-01
-103.6,19.32,"Cuauhtémoc, Col.",25.7,2014-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.3,2014-08-01
-103.87,19.17,"La Esperanza, Col.",28.3,2014-08-01
-103.77,18.81,"Laguna de Amela, Col.",29.1,2014-08-01
-103.73,19.22,"La Posta, Col.",27.8,2014-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.0,2014-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.7,2014-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.7,2014-08-01
-103.81,19.33,"Peñitas, Col.",27.8,2014-08-01
-104.1,18.94,"Radar, Col.",29.5,2014-08-01
-103.87,18.91,"Tecomán, Col.",31.2,2014-08-01
-103.61,19.25,"Buenavista, Col.",25.8,2014-09-01
-103.73,18.76,"Cerro de Ortega, Col.",28.5,2014-09-01
-103.63,18.83,"Callejones, Col.",28.5,2014-09-01
-103.8,19.21,"Coquimatlán, Col.",26.6,2014-09-01
-103.6,19.32,"Cuauhtémoc, Col.",24.6,2014-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",27.0,2014-09-01
-103.87,19.17,"La Esperanza, Col.",26.9,2014-09-01
-103.77,18.81,"Laguna de Amela, Col.",27.7,2014-09-01
-103.73,19.22,"La Posta, Col.",26.6,2014-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.8,2014-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.0,2014-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",28.7,2014-09-01
-103.81,19.33,"Peñitas, Col.",26.3,2014-09-01
-104.1,18.94,"Radar, Col.",28.1,2014-09-01
-103.87,18.91,"Tecomán, Col.",29.5,2014-09-01
-103.61,19.25,"Buenavista, Col.",26.6,2014-10-01
-103.73,18.76,"Cerro de Ortega, Col.",29.2,2014-10-01
-103.63,18.83,"Callejones, Col.",28.9,2014-10-01
-103.8,19.21,"Coquimatlán, Col.",27.8,2014-10-01
-103.6,19.32,"Cuauhtémoc, Col.",25.3,2014-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.0,2014-10-01
-103.87,19.17,"La Esperanza, Col.",27.7,2014-10-01
-103.77,18.81,"Laguna de Amela, Col.",28.8,2014-10-01
-103.73,19.22,"La Posta, Col.",27.4,2014-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.8,2014-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.4,2014-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.3,2014-10-01
-103.81,19.33,"Peñitas, Col.",27.5,2014-10-01
-104.1,18.94,"Radar, Col.",29.0,2014-10-01
-103.87,18.91,"Tecomán, Col.",30.5,2014-10-01
-103.61,19.25,"Buenavista, Col.",24.7,2014-11-01
-103.73,18.76,"Cerro de Ortega, Col.",27.3,2014-11-01
-103.63,18.83,"Callejones, Col.",27.7,2014-11-01
-103.8,19.21,"Coquimatlán, Col.",26.4,2014-11-01
-103.6,19.33,"Cuauhtémoc, Col.",23.7,2014-11-01
-103.88,19.11,"Presa derivadora Jala, Col.",26.4,2014-11-01
-103.87,19.17,"La Esperanza, Col.",25.2,2014-11-01
-103.77,18.81,"Laguna de Amela, Col.",27.0,2014-11-01
-103.73,19.22,"La Posta, Col.",25.6,2014-11-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.9,2014-11-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",26.9,2014-11-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",27.7,2014-11-01
-103.81,19.33,"Peñitas, Col.",25.7,2014-11-01
-104.1,18.94,"Radar, Col.",27.6,2014-11-01
-103.87,18.91,"Tecomán, Col.",28.1,2014-11-01
-103.61,19.25,"Buenavista, Col.",32.7,2014-12-01
-103.73,18.76,"Cerro de Ortega, Col.",32.5,2014-12-01
-103.63,18.83,"Callejones, Col.",32.9,2014-12-01
-103.8,19.21,"Coquimatlán, Col.",31.9,2014-12-01
-103.6,19.33,"Cuauhtémoc, Col.",29.1,2014-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.6,2014-12-01
-103.87,19.17,"La Esperanza, Col.",32.2,2014-12-01
-103.77,18.81,"Laguna de Amela, Col.",32.0,2014-12-01
-103.73,19.22,"La Posta, Col.",32.2,2014-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.4,2014-12-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.7,2014-12-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.8,2014-12-01
-103.81,19.33,"Peñitas, Col.",32.8,2014-12-01
-104.1,18.94,"Radar, Col.",32.0,2014-12-01
